00003780 FUN_00003780
80023008 FUN_80023008
80023070 FUN_80023070
8002309c FUN_8002309c
80023154 FUN_80023154
80023180 FUN_80023180
800231bc FUN_800231bc
800231d8 FUN_800231d8
800232a4 FUN_800232a4
80023340 FUN_80023340
800233e8 HCI_Write_Simple_Pairing_Debug_Mode
80023618 FUN_80023618
800236a0 FUN_800236a0
800236cc FUN_800236cc
800237c8 FUN_800237c8
8002384c FUN_8002384c
80023878 FUN_80023878
80023940 FUN_80023940
800239cc FUN_800239cc
800239f8 FUN_800239f8
80023a80 FUN_80023a80
80023b08 FUN_80023b08
80023b40 FUN_80023b40
80023ba4 send_evt_HCI_Encryption_Key_Refresh_Complete
80023bdc FUN_80023bdc
80023c4c send_evt_HCI_Keypress_Notification
80023c90 send_evt_HCI_Simple_Pairing_Complete
80023cc8 send_evt_HCI_IO_Capability_Response
80023d14 FUN_80023d14
80023e38 send_evt_HCI_User_Passkey_Notification
80023e84 send_evt_HCI_Remote_OOB_Data_Request
80023ecc send_evt_HCI_User_Passkey_Request
80023f14 send_evt_HCI_User_Confirmation_Request
80023f6c send_evt_HCI_IO_Capability_Request
80023fb4 set_arg1+1_to_arg2
80023fb8 FUN_80023fb8
80023fd0 some_case_0x2d
80023fdc FUN_80023fdc
80024004 FUN_80024004
80024020 FUN_80024020
8002403c FUN_8002403c
80024050 FUN_80024050
8002405c FUN_8002405c
8002408c FUN_8002408c
800240a4 FUN_800240a4
800240f4 ret_bool_based_on_crypto_struct_0x50
8002410c FUN_8002410c
80024114 FUN_80024114
80024154 FUN_80024154
80024218 FUN_80024218
800242b0 FUN_800242b0
800242dc FUN_800242dc
80024314 FUN_80024314
800243b8 FUN_800243b8
80024400 FUN_80024400
8002442c wrap_send_LMP_NOT_ACCEPTED
80024470 FUN_80024470
800244f8 FUN_800244f8
80024540 FUN_80024540
80024560 FUN_80024560
80024590 FUN_80024590
800245cc FUN_800245cc
800245e4 FUN_800245e4
800245fc FUN_800245fc
80024638 FUN_80024638
8002469c wrap_send_LMP_ACCEPTED_and_some_other_things
800246fc FUN_800246fc
80024754 FUN_80024754
800247b4 FUN_800247b4
800249a8 FUN_800249a8
80024bd8 copy_fields_within_crypto_struct
80024c08 FUN_80024c08
80024ca4 start_with_fptr_called_by_call_send_evt_HCI_Simple_Pairing_Complete__state_machine_update?
80025058 FUN_80025058
80025164 FUN_80025164
800251f8 FUN_800251f8
80025318 FUN_80025318
80025368 FUN_80025368
800253cc FUN_800253cc
80025410 FUN_80025410
80025474 FUN_80025474
800254b0 FUN_800254b0
80025524 FUN_80025524
800255a0 FUN_800255a0
800255fc FUN_800255fc
80025634 FUN_80025634
80025710 FUN_80025710
8002572c FUN_8002572c
80025758 FUN_80025758
80025784 FUN_80025784
800257b0 FUN_800257b0
800257f0 FUN_800257f0
80025800 FUN_80025800
80025858 FUN_80025858
8002587c FUN_8002587c
800258a0 FUN_800258a0
800258c4 FUN_800258c4
800258ec FUN_800258ec
80025910 FUN_80025910
80025948 FUN_80025948
80025980 FUN_80025980
800259c8 FUN_800259c8
80025a60 FUN_80025a60
80025b1c FUN_80025b1c
80025b68 FUN_80025b68
80025cb4 LMP__271__FUN_80025cb4
80025d34 some_case_0x3b_or_0x3c_possible_HCI_Passkey_Notification_or_HCI_Keypress_Notification
80025dd8 FUN_80025dd8
80025e2c FUN_80025e2c
80025ea8 FUN_80025ea8
80025f34 FUN_80025f34
80025f7c FUN_80025f7c
80025fb4 FUN_80025fb4
8002600c FUN_8002600c
80026050 FUN_80026050
800260b8 FUN_800260b8
800260f4 FUN_800260f4
80026194 FUN_80026194
800262b8 FUN_800262b8
800263e4 FUN_800263e4
80026460 FUN_80026460
80026570 FUN_80026570
80026608 call_send_evt_HCI_Simple_Pairing_Complete
80026854 FUN_80026854
80026874 FUN_80026874
800268ac FUN_800268ac
80026920 FUN_80026920
8002694c FUN_8002694c
80026994 FUN_80026994
800269e4 FUN_800269e4
800269e8 FUN_800269e8
80026a54 FUN_80026a54
80026c38 LMP_ENCRYPTION_MODE_REQ_0x0F
80026e64 LMP_ENCRYPTION_KEY_SIZE_REQ_0x10_possibility2
80026f54 LMP_COMB_KEY_0x09
80027100 LMP_SRES_0x0C
80027278 FUN_80027278
80027300 FUN_80027300
80027380 FUN_80027380
80027454 LMP_IN_RAND_0x08
8002763c LMP_AU_RAND_0x0B
80027994 FUN_80027994
80027ae0 FUN_80027ae0
80027b28 FUN_80027b28
80027b9c FUN_80027b9c
80027c20 FUN_80027c20
80027ccc FUN_80027ccc
80027d4c FUN_80027d4c
80027de0 LMP_ENCRYPTION_KEY_SIZE_REQ_0x10
80027f30 LMP_ENCRYPTION_KEY_SIZE_MASK_RES_0x3B
80027f80 LMP_ENCRYPTION_KEY_SIZE_MASK_REQ_0x3A
80027fd4 LMP_STOP_ENCRYPTION_REQ_0x12
800280ac FUN_800280ac
800281c4 LMP_NOT_ACCEPTED_0x04
80028264 LMP_more_normal_opcode_handlers
800284e4 FUN_800284e4
80028550 FUN_80028550
800285cc FUN_800285cc
80028634 FUN_80028634
800286a8 FUN_800286a8
800287b8 LMP_DHKEY_CHECK_0x41
80028904 LMP__272__FUN_80028904
80028950 reverse_path_to_thing_that_uses_SHA_and_BLAKE__2
80028bb8 LMP_SIMPLE_PAIRING_CONFIRM_0x3F
80028d04 FUN_80028d04
80028d98 FUN_80028d98
80028e30 FUN_80028e30
80028ec4 FUN_80028ec4
80028fc4 LMP_PAUSE_ENCRYPTION_AES_REQ_0x66
80029260 FUN_80029260
800292d8 FUN_800292d8
80029364 FUN_80029364
800293f0 FUN_800293f0
8002958c FUN_8002958c
80029630 FUN_80029630
8002963c FUN_8002963c
80029680 FUN_80029680
800296d0 FUN_800296d0
80029728 FUN_80029728
80029784 FUN_80029784
800297bc LMP_USE_SEMI_PERMANENT_KEY_0x32
80029830 LMP_TEMP_KEY_0x0E
800298d0 LMP_TEMP_RAND_0x0D
80029944 FUN_80029944
80029978 FUN_80029978
800299d8 FUN_800299d8
80029a14 FUN_80029a14
80029a50 send_evt_HCI_Link_Key_Type_Changed
80029a98 wraps_send_evt_HCI_Link_Key_Type_Changed_0x0A
80029b64 FUN_80029b64
80029bd0 FUN_80029bd0
80029c5c calls_send_evt_HCI_Link_Key_Type_Changed_0x0A_and_possible_LMP_DETACH
80029cdc FUN_80029cdc
80029cfc FUN_80029cfc
80029d60 FUN_80029d60
80029e14 FUN_80029e14
80029e78 FUN_80029e78
80029eb0 FUN_80029eb0
80029f70 FUN_80029f70
8002a0f4 FUN_8002a0f4
8002a188 FUN_8002a188
8002a1dc FUN_8002a1dc
8002a234 FUN_8002a234
8002a270 FUN_8002a270
8002a2ec FUN_8002a2ec
8002a334 HCI_EVT_0x1fd_FUN_8002a334
8002a3d8 FUN_8002a3d8
8002a868 FUN_8002a868
8002aa8c FUN_8002aa8c
8002ad30 FUN_8002ad30
8002adac FUN_8002adac
8002adbc FUN_8002adbc
8002addc FUN_8002addc
8002ae14 FUN_8002ae14
8002ae50 FUN_8002ae50
8002af24 FUN_8002af24
8002af48 FUN_8002af48
8002b020 FUN_8002b020
8002b118 FUN_8002b118
8002b15c FUN_8002b15c
8002b1a4 FUN_8002b1a4
8002b1f8 FUN_8002b1f8
8002b270 FUN_8002b270
8002b28c FUN_8002b28c
8002b2b8 FUN_8002b2b8
8002b394 FUN_8002b394
8002b3b4 FUN_8002b3b4
8002b514 FUN_8002b514
8002b558 FUN_8002b558
8002b65c FUN_8002b65c
8002b6f4 FUN_8002b6f4
8002b894 FUN_8002b894
8002b8e0 FUN_8002b8e0
8002b920 FUN_8002b920
8002b9a4 FUN_8002b9a4
8002ba10 FUN_8002ba10
8002bae0 FUN_8002bae0
8002bb50 FUN_8002bb50
8002bc28 FUN_8002bc28
8002bc88 FUN_8002bc88
8002bd04 FUN_8002bd04
8002c018 FUN_8002c018
8002c2ac FUN_8002c2ac
8002c2d8 FUN_8002c2d8
8002c31c FUN_8002c31c
8002c338 thing_that_uses_SHA_and_BLAKE
8002c59c reverse_path_to_thing_that_uses_SHA_and_BLAKE__1
8002c62c FUN_8002c62c
8002c6c8 FUN_8002c6c8
8002c758 FUN_8002c758
8002c7d0 FUN_8002c7d0
8002c838 FUN_8002c838
8002c888 get_DHKey_to_3rd_param?
8002c928 FUN_8002c928
8002c9c8 FUN_8002c9c8
8002ca2c FUN_8002ca2c
8002ca88 FUN_8002ca88
8002cb2c FUN_8002cb2c
8002cbc8 FUN_8002cbc8
8002cc40 FUN_8002cc40
8002ccac FUN_8002ccac
8002cd80 FUN_8002cd80
8002cddc FUN_8002cddc
8002cf24 FUN_8002cf24
8002cfac FUN_8002cfac
8002d00c FUN_8002d00c
8002d0b0 FUN_8002d0b0
8002d14c FUN_8002d14c
8002d1f0 FUN_8002d1f0
8002d2a0 FUN_8002d2a0
8002d378 FUN_8002d378
8002d3d8 FUN_8002d3d8
8002d464 FUN_8002d464
8002d744 FUN_8002d744
8002d818 FUN_8002d818
8002db50 FUN_8002db50
8002dda4 FUN_8002dda4
8002dfd4 FUN_8002dfd4
8002dffc FUN_8002dffc
8002e55c FUN_8002e55c
8002eae0 LMP__26E__FUN_8002eae0
8002eb94 FUN_8002eb94
8002ed70 FUN_8002ed70
8002ed9c FUN_8002ed9c
8002edb8 send_evt_HCI_Number_Of_Completed_Packets
8002ede4 FUN_8002ede4
8002ee54 FUN_8002ee54
8002ee84 FUN_8002ee84
8002ef18 FUN_8002ef18
8002ef48 FUN_8002ef48
8002f048 FUN_8002f048
8002f220 FUN_8002f220
8002f254 FUN_8002f254
8002f378 FUN_8002f378
8002f39c FUN_8002f39c
8002f3b0 FUN_8002f3b0
8002f454 FUN_8002f454
8002f478 FUN_8002f478
8002f518 FUN_8002f518
8002f930 FUN_8002f930
8002f95c FUN_8002f95c
8002f9b8 FUN_8002f9b8
8002f9f4 FUN_8002f9f4
8002fa34 FUN_8002fa34
8002fa64 FUN_8002fa64
8002fa94 FUN_8002fa94
8002fae0 VSC_0xfc93_FUN_8002fae0
8002fb54 FUN_8002fb54
8002fc60 FUN_8002fc60
8002fcb0 FUN_8002fcb0
8002fd3c VSC_0xfd40_FUN_8002fd3c
8002fea0 wrapper_multi-VSC_Handler_FUN_8002fea0
8002fee0 VSC_0xfc20__download_patch__FUN_8002fee0
8002ffc4 FUN_8002ffc4
8003003c VSC_0xfc46_FUN_8003003c
800300c4 VSC_0xfc95_FUN_800300c4
8003013c FUN_8003013c
80030158 FUN_80030158
8003024c FUN_8003024c
800302ac references_patch_download_mem4
800303f4 VSC_0xfc35_FUN_800303f4
80030530 FUN_80030530
80030560 FUN_80030560
800305f4 FUN_800305f4
800308d8 FUN_800308d8
800308d9 FUN_800308d9
800308ec FUN_800308ec
80030950 FUN_80030950
80030a74 FUN_80030a74
80030b2c VSC_0xfc27_FUN_80030b2c
80030bdc VSC_0xfc64_FUN_80030bdc
80030dd8 VSC_0xfc61_write_to_relevant_data_FUN_80030dd8
80030eec VSC_0xfc8b_FUN_80030eec
80030f1c HCI_CMD_OGF_3F__Vendor_Specific__FUN_80030f1c
80032138 FUN_80032138
800321f8 FUN_800321f8
8003229c FUN_8003229c
800324f4 FUN_800324f4
80032540 multi-VSC_Handler_FUN_80032540
80032e28 called_by_function_that_uses_Logger_string_2_initialize_something_at_offset_0x800
80032e40 FUN_80032e40
80032ec4 FUN_80032ec4
80033048 FUN_80033048
80033164 FUN_80033164
80033168 FUN_80033168
80033188 calls_fptr_down_LMP__47E_path
80033248 FUN_80033248
8003337c FUN_8003337c
800333d4 FUN_800333d4
800333fc FUN_800333fc
800334ac FUN_800334ac
800335f0 FUN_800335f0
80033630 FUN_80033630
80033670 FUN_80033670
800336f4 FUN_800336f4
80033744 FUN_80033744
80033794 FUN_80033794
80033a04 FUN_80033a04
80033ae4 FUN_80033ae4
80033b10 FUN_80033b10
80033b14 FUN_80033b14
80033be8 FUN_80033be8
80033c98 FUN_80033c98
80033ce8 FUN_80033ce8
80033d24 FUN_80033d24
80033d28 FUN_80033d28
80033d2c FUN_80033d2c
80033d30 FUN_80033d30
80033da0 FUN_80033da0
80033e10 FUN_80033e10
80033e6c FUN_80033e6c
80033e98 FUN_80033e98
80033ec4 FUN_80033ec4
80033ed8 FUN_80033ed8
80033f8c FUN_80033f8c
8003436c FUN_8003436c
800343dc FUN_800343dc
80034474 FUN_80034474
80034480 FUN_80034480
800344f8 FUN_800344f8
80034564 FUN_80034564
800345ec FUN_800345ec
80034674 FUN_80034674
800347a0 FUN_800347a0
800347d4 FUN_800347d4
80034884 FUN_80034884
800348c0 FUN_800348c0
8003491c FUN_8003491c
8003497c FUN_8003497c
80034a24 FUN_80034a24
80034a38 idk_takes_new_new_power_val
80034be0 set_new_power_val
80034c5c FUN_80034c5c
80034cac FUN_80034cac
80034cbc FUN_80034cbc
80034ccc FUN_80034ccc
80034d00 FUN_80034d00
80034d88 FUN_80034d88
80034e6c FUN_80034e6c
80034e98 FUN_80034e98
80034ec4 FUN_80034ec4
80035068 LMP__25C_called2
80035104 FUN_80035104
80035214 FUN_80035214
800352d0 FUN_800352d0
80035378 FUN_80035378
80035454 FUN_80035454
80035640 FUN_80035640
800356bc FUN_800356bc
80035768 FUN_80035768
80035b4c FUN_80035b4c
80035cac FUN_80035cac
80035cd4 FUN_80035cd4
80035e64 FUN_80035e64
80035f74 FUN_80035f74
80035ff4 FUN_80035ff4
80036100 FUN_80036100
8003611c FUN_8003611c
800361e4 FUN_800361e4
800362b4 FUN_800362b4
800362f0 FUN_800362f0
80036370 FUN_80036370
800363a0 FUN_800363a0
80036420 FUN_80036420
800364c8 FUN_800364c8
80036670 FUN_80036670
800366cc FUN_800366cc
800367e4 FUN_800367e4
80036bd0 fHCI_[Create_Connection_0x08]_or_[Remote_Name_Request_0x1A]_Cancel
80036d44 fHCI_Inquiry_Cancel_0x02_1
80036da8 FUN_80036da8
80036df8 called_by_fHCI_Remote_Name_Request_5
80036f60 FUN_80036f60
80036fa8 FUN_80036fa8
80037370 FUN_80037370
80037394 FUN_80037394
80037460 FUN_80037460
800375f8 FUN_800375f8
80037710 FUN_80037710
80037790 FUN_80037790
80037804 FUN_80037804
8003785c FUN_8003785c
800378e4 FUN_800378e4
8003792c FUN_8003792c
80037974 FUN_80037974
800379cc FUN_800379cc
800379dc FUN_800379dc
80037a20 FUN_80037a20
80037af0 FUN_80037af0
80037b94 FUN_80037b94
80037e28 FUN_80037e28
800381fc FUN_800381fc
8003845c FUN_8003845c
800384ac FUN_800384ac
8003851c FUN_8003851c
80038640 FUN_80038640
800386d0 FUN_800386d0
800388e0 FUN_800388e0
8003894c FUN_8003894c
80038b64 FUN_80038b64
80038c54 FUN_80038c54
80038c94 FUN_80038c94
80038d7c FUN_80038d7c
80038d98 FUN_80038d98
80038df4 FUN_80038df4
80038e24 FUN_80038e24
80038e74 FUN_80038e74
80038ee0 FUN_80038ee0
80038f1c FUN_80038f1c
80038f48 FUN_80038f48
80038f6c FUN_80038f6c
80038f98 FUN_80038f98
80038fcc FUN_80038fcc
80039128 FUN_80039128
80039174 FUN_80039174
80039194 FUN_80039194
800391d0 FUN_800391d0
80039210 FUN_80039210
80039234 FUN_80039234
80039258 FUN_80039258
80039298 FUN_80039298
800392d4 FUN_800392d4
800392f8 FUN_800392f8
80039334 FUN_80039334
80039358 FUN_80039358
8003937c FUN_8003937c
800393ac FUN_800393ac
800393d8 FUN_800393d8
800393f8 FUN_800393f8
80039418 FUN_80039418
80039448 FUN_80039448
80039518 FUN_80039518
800395f0 FUN_800395f0
800396bc FUN_800396bc
800396c8 FUN_800396c8
800396ec FUN_800396ec
80039738 FUN_80039738
8003975c FUN_8003975c
800397d0 FUN_800397d0
80039828 FUN_80039828
80039844 FUN_80039844
80039920 FUN_80039920
80039974 FUN_80039974
800399c4 FUN_800399c4
800399e4 FUN_800399e4
80039a10 FUN_80039a10
80039a14 FUN_80039a14
80039abc FUN_80039abc
80039b18 FUN_80039b18
80039b50 FUN_80039b50
80039b80 FUN_80039b80
80039c08 FUN_80039c08
80039c98 FUN_80039c98
80039de4 FUN_80039de4
80039f54 FUN_80039f54
8003a124 FUN_8003a124
8003a180 FUN_8003a180
8003a360 FUN_8003a360
8003a38c FUN_8003a38c
8003a520 FUN_8003a520
8003a5ec FUN_8003a5ec
8003a630 FUN_8003a630
8003a6a8 FUN_8003a6a8
8003a748 FUN_8003a748
8003a7b4 FUN_8003a7b4
8003a824 FUN_8003a824
8003a9b0 FUN_8003a9b0
8003aa20 FUN_8003aa20
8003aa7c FUN_8003aa7c
8003ab04 FUN_8003ab04
8003ab74 FUN_8003ab74
8003ac28 FUN_8003ac28
8003ac7c FUN_8003ac7c
8003ada4 FUN_8003ada4
8003aea0 FUN_8003aea0
8003b170 FUN_8003b170
8003b1c4 FUN_8003b1c4
8003b1d0 FUN_8003b1d0
8003b220 FUN_8003b220
8003b2fc FUN_8003b2fc
8003b328 FUN_8003b328
8003b364 FUN_8003b364
8003b3b4 FUN_8003b3b4
8003b3e4 FUN_8003b3e4
8003b428 FUN_8003b428
8003b55c FUN_8003b55c
8003b574 FUN_8003b574
8003b5b8 FUN_8003b5b8
8003b5ec FUN_8003b5ec
8003b604 FUN_8003b604
8003b64c FUN_8003b64c
8003b698 FUN_8003b698
8003b6dc FUN_8003b6dc
8003b6fc FUN_8003b6fc
8003b744 FUN_8003b744
8003b758 FUN_8003b758
8003b76c FUN_8003b76c
8003b818 FUN_8003b818
8003b86c FUN_8003b86c
8003b8cc FUN_8003b8cc
8003b920 FUN_8003b920
8003b9a4 FUN_8003b9a4
8003b9c0 FUN_8003b9c0
8003bad4 FUN_8003bad4
8003bbf0 VSC_0xfd49_FUN_8003bbf0
8003bc54 FUN_8003bc54
8003bd94 FUN_8003bd94
8003bde4 FUN_8003bde4
8003c19c FUN_8003c19c
8003c2b4 FUN_8003c2b4
8003c41c FUN_8003c41c
8003c5b8 FUN_8003c5b8
8003c608 FUN_8003c608
8003c69c FUN_8003c69c
8003c6e8 FUN_8003c6e8
8003c790 FUN_8003c790
8003c7cc FUN_8003c7cc
8003c94c FUN_8003c94c
8003ca28 FUN_8003ca28
8003ca5c FUN_8003ca5c
8003cae0 FUN_8003cae0
8003cb80 FUN_8003cb80
8003ce50 FUN_8003ce50
8003ce68 FUN_8003ce68
8003ce98 FUN_8003ce98
8003cf28 FUN_8003cf28
8003cf80 FUN_8003cf80
8003cf98 FUN_8003cf98
8003cf9c FUN_8003cf9c
8003cfdc FUN_8003cfdc
8003d018 FUN_8003d018
8003d03c FUN_8003d03c
8003d068 FUN_8003d068
8003d0d0 FUN_8003d0d0
8003d110 FUN_8003d110
8003d204 FUN_8003d204
8003d2f8 FUN_8003d2f8
8003d354 FUN_8003d354
8003d490 FUN_8003d490
8003d4fc FUN_8003d4fc
8003d558 FUN_8003d558
8003d630 FUN_8003d630
8003d7bc FUN_8003d7bc
8003de48 FUN_8003de48
8003e0d4 FUN_8003e0d4
8003e1d4 FUN_8003e1d4
8003e294 FUN_8003e294
8003e400 FUN_8003e400
8003e58c FUN_8003e58c
8003e648 FUN_8003e648
8003e694 FUN_8003e694
8003e760 FUN_8003e760
8003e98c FUN_8003e98c
8003ec48 FUN_8003ec48
8003ef10 FUN_8003ef10
8003f980 FUN_8003f980
8003f9bc FUN_8003f9bc
8003f9fc FUN_8003f9fc
8003fa24 FUN_8003fa24
8003fa8c FUN_8003fa8c
8003fb5c FUN_8003fb5c
8003fcc8 FUN_8003fcc8
8003ff44 FUN_8003ff44
80040060 FUN_80040060
8004012c FUN_8004012c
800401c4 FUN_800401c4
80040384 FUN_80040384
80040494 FUN_80040494
80040594 FUN_80040594
800407e8 FUN_800407e8
800408a4 FUN_800408a4
800408cc FUN_800408cc
800408ec FUN_800408ec
8004090c FUN_8004090c
80040a24 FUN_80040a24
80040e60 FUN_80040e60
80041028 FUN_80041028
800411a4 FUN_800411a4
80041230 FUN_80041230
8004147c FUN_8004147c
80041900 FUN_80041900
80041a94 FUN_80041a94
80041c18 fHCI_Exit_Periodic_Inquiry_Mode_0x04
80041c70 FUN_80041c70
80041dac FUN_80041dac
80042188 assoc_w_tLC_RX
80042420 assoc_w_tLC_TX
800425e0 FUN_800425e0
80042640 FUN_80042640
8004287c FUN_8004287c
800428ec FUN_800428ec
80042934 FUN_80042934
80042984 FUN_80042984
800429ac FUN_800429ac
800429d4 FUN_800429d4
80042a14 check_new_power_val!=0
80042a28 check_if_at_max_power_(6)
80042a3c increment_new_power_val_if_<_6
80042a58 increment_new_power_val_if_!=_0
80042a68 FUN_80042a68
80042ab0 FUN_80042ab0
80042b34 FUN_80042b34
80042b38 FUN_80042b38
80042b80 FUN_80042b80
80042c0c FUN_80042c0c
80042c28 FUN_80042c28
80042c94 FUN_80042c94
80042d34 FUN_80042d34
80042d74 FUN_80042d74
80042da0 FUN_80042da0
80042db8 FUN_80042db8
80042de8 FUN_80042de8
80042e10 FUN_80042e10
80042e38 FUN_80042e38
80042ee0 FUN_80042ee0
80042f2c FUN_80042f2c
80042f74 FUN_80042f74
80043004 FUN_80043004
80043038 FUN_80043038
80043070 FUN_80043070
800430ac FUN_800430ac
8004310c FUN_8004310c
80043158 FUN_80043158
800431a0 FUN_800431a0
8004326c FUN_8004326c
8004332c FUN_8004332c
80043388 FUN_80043388
80043400 FUN_80043400
80043438 FUN_80043438
800434ac FUN_800434ac
80043508 FUN_80043508
80043594 FUN_80043594
800435a8 FUN_800435a8
80043718 FUN_80043718
80043774 FUN_80043774
80043810 called_by_fHCI_Remote_Name_Request_3
80043884 FUN_80043884
80043984 FUN_80043984
80043a60 FUN_80043a60
80043bfc FUN_80043bfc
80043c7c FUN_80043c7c
80043e04 FUN_80043e04
800442bc FUN_800442bc
800443fc FUN_800443fc
80044430 OGC_3_default_func_3
80044490 FUN_80044490
80044564 FUN_80044564
80044588 FUN_80044588
800445b8 FUN_800445b8
800445f4 FUN_800445f4
80044648 FUN_80044648
80044674 HCI_CMD_OGF_08__LE_Commands__big_switch
80044730 FUN_80044730
800447a4 send_evt_Meta_subevent_0x13
80044804 send_evt_Meta_subevent_0x11
80044820 send_evt_Meta_subevent_0x14_HCI_LE_Channel_Selection_Algorithm
80044844 send_evt_Meta_subevent_0x07
80044890 send_evt_Meta_subevent_0x04
800448c4 send_evt_Meta_subevent_0x03_HCI_LE_Connection_Update_Complete
8004498c FUN_8004498c
8004498d FUN_8004498d
80044990 send_evt_Meta_subevent_0x16
80044a24 send_evt_Meta_subevent_0x17
80044ad4 FUN_80044ad4
80044adc FUN_80044adc
80044b3c FUN_80044b3c
80044b90 FUN_80044b90
80044c04 FUN_80044c04
80044c7c FUN_80044c7c
80044ef8 FUN_80044ef8
80044f10 FUN_80044f10
80044f28 FUN_80044f28
80044f9c FUN_80044f9c
80045000 FUN_80045000
80045188 FUN_80045188
800451cc FUN_800451cc
8004537c FUN_8004537c
80045408 FUN_80045408
80045454 FUN_80045454
800454e8 send_evt_Meta_subevent_0x12
80045534 send_evt_Meta_subevent_0x0c_HCI_LE_PHY_Update_Complete
80045578 send_evt_Meta_subevent_0x09_HCI_LE_Generate_DHKey_Complete
800455b8 send_evt_Meta_subevent_0x08_HCI_LE_Read_Local_P-256_Public_Key_Complete
800455f4 send_evt_Meta_subevent_0x2_or_0x0b
8004574c FUN_8004574c
80045770 FUN_80045770
800457cc FUN_800457cc
80045854 FUN_80045854
800458dc FUN_800458dc
80045964 FUN_80045964
80045b94 FUN_80045b94
80045bb4 FUN_80045bb4
80045c00 send_evt_Meta_subevent_0x05_HCI_LE_Long_Term_Key_Request
80045c70 FUN_80045c70
80045e8c send_evt_Meta_subevent_0x01_or_0x0a_HCI_LE_Connection_Complete_or_HCI_LE_Enhanced_Connection_Complete
800462b0 FUN_800462b0
8004635c FUN_8004635c
800464a4 FUN_800464a4
8004653c FUN_8004653c
80046620 f_called_by_fHCI_Read_Remote_Version_Information_2
80046790 FUN_80046790
80046798 FUN_80046798
80046900 FUN_80046900
80046cc4 FUN_80046cc4
80046cc5 FUN_80046cc5
80046ce8 FUN_80046ce8
80046e40 FUN_80046e40
8004701c FUN_8004701c
8004704c FUN_8004704c
80047174 FUN_80047174
80047200 FUN_80047200
80047270 FUN_80047270
8004727c FUN_8004727c
80047304 FUN_80047304
80047610 FUN_80047610
80047611 FUN_80047611
80047628 FUN_80047628
80047968 FUN_80047968
80047969 FUN_80047969
80047980 FUN_80047980
80047afc FUN_80047afc
80047b00 FUN_80047b00
80047b10 FUN_80047b10
80047bc8 FUN_80047bc8
80047bdc FUN_80047bdc
80047c50 FUN_80047c50
80047f1c FUN_80047f1c
80047fb4 FUN_80047fb4
800480a4 FUN_800480a4
800480b0 FUN_800480b0
8004836c FUN_8004836c
800483c0 FUN_800483c0
80048754 FUN_80048754
80048934 FUN_80048934
80048948 FUN_80048948
80048964 FUN_80048964
80048980 FUN_80048980
800489e8 FUN_800489e8
80048ac8 FUN_80048ac8
80048b80 FUN_80048b80
80048c0c FUN_80048c0c
80048cd4 FUN_80048cd4
80048cd5 FUN_80048cd5
80048d6c FUN_80048d6c
80048e44 FUN_80048e44
80048ef8 FUN_80048ef8
80048fa4 FUN_80048fa4
80048fb8 FUN_80048fb8
800490c0 FUN_800490c0
80049154 FUN_80049154
80049155 FUN_80049155
80049158 FUN_80049158
8004923c FUN_8004923c
800492d8 FUN_800492d8
80049420 FUN_80049420
800494b0 FUN_800494b0
80049548 FUN_80049548
80049550 FUN_80049550
8004966c FUN_8004966c
80049924 thunk_FUN_8004996a
80049926 FUN_80049926
8004993c FUN_8004993c
8004996a FUN_8004996a
80049a2c FUN_80049a2c
80049b40 FUN_80049b40
80049bfc FUN_80049bfc
80049c10 FUN_80049c10
80049d20 FUN_80049d20
8004a2e4 FUN_8004a2e4
8004a2e8 FUN_8004a2e8
8004a318 FUN_8004a318
8004a444 FUN_8004a444
8004a464 FUN_8004a464
8004a4bc FUN_8004a4bc
8004a4fc FUN_8004a4fc
8004a5ac FUN_8004a5ac
8004a5f4 FUN_8004a5f4
8004a660 FUN_8004a660
8004a6b8 FUN_8004a6b8
8004a6ec FUN_8004a6ec
8004a71c VSC_0xfc95_called1
8004a730 FUN_8004a730
8004a908 FUN_8004a908
8004a9e4 FUN_8004a9e4
8004aae8 FUN_8004aae8
8004ab0c FUN_8004ab0c
8004ab64 FUN_8004ab64
8004ad0c FUN_8004ad0c
8004ad68 FUN_8004ad68
8004ae74 FUN_8004ae74
8004b064 FUN_8004b064
8004b0f8 FUN_8004b0f8
8004b170 FUN_8004b170
8004b1d0 FUN_8004b1d0
8004b29c FUN_8004b29c
8004b344 FUN_8004b344
8004b3c0 FUN_8004b3c0
8004b468 FUN_8004b468
8004b6ec FUN_8004b6ec
8004b76c FUN_8004b76c
8004b7d8 FUN_8004b7d8
8004b83c FUN_8004b83c
8004b898 FUN_8004b898
8004ba34 FUN_8004ba34
8004bc74 FUN_8004bc74
8004bde8 FUN_8004bde8
8004bf60 FUN_8004bf60
8004c0f4 LMP__26F__sends_LE_HCI_Events
8004c2f0 FUN_8004c2f0
8004c4a8 FUN_8004c4a8
8004c844 FUN_8004c844
8004c940 FUN_8004c940
8004ca10 FUN_8004ca10
8004ca7c FUN_8004ca7c
8004cb48 FUN_8004cb48
8004ce44 FUN_8004ce44
8004ce70 FUN_8004ce70
8004d220 FUN_8004d220
8004d294 FUN_8004d294
8004d8b8 FUN_8004d8b8
8004e0b0 FUN_8004e0b0
8004e100 FUN_8004e100
8004e154 FUN_8004e154
8004e190 FUN_8004e190
8004e1c4 FUN_8004e1c4
8004e204 FUN_8004e204
8004e220 FUN_8004e220
8004e274 FUN_8004e274
8004e298 FUN_8004e298
8004e2b8 FUN_8004e2b8
